SalesOrderID,OrderDate,CustomerID,TotalDue,DenseTotalDueRank
51131,2013-05-30,29641,187487.825,1
55282,2013-08-30,29641,182018.6272,2
46616,2012-05-30,29614,170512.6689,3
46981,2012-06-30,30103,166537.0808,4
47395,2012-07-31,29701,165028.7482,5
47369,2012-07-31,29998,158056.5449,6
47355,2012-07-31,29957,145741.8553,7
51822,2013-06-30,29913,145454.366,8
44518,2011-10-01,29624,142312.2199,9
51858,2013-06-30,29940,140042.1209,10
57150,2013-09-30,29923,137721.3102,11
43875,2011-07-01,29624,137343.2877,12
46607,2012-05-30,29994,135606.6769,13
46660,2012-05-30,29646,132727.8506,14
67305,2014-03-01,29641,130907.0496,15
43884,2011-07-01,29861,130416.4829,16
53573,2013-07-31,30050,130249.2557,17
47455,2012-07-31,29715,126992.2202,18
51830,2013-06-30,29617,126852.1615,19
47441,2012-07-31,29562,126830.9608,20
69531,2014-03-31,29923,126514.9931,21
57186,2013-09-30,29913,126230.418,22
51739,2013-06-30,29712,125157.3774,23
51126,2013-05-30,29987,124397.7924,24
57105,2013-09-30,29818,124249.4919,25
46643,2012-05-30,29689,123497.0664,26
69535,2014-03-31,29940,122916.4563,27
44528,2011-10-01,30111,122500.6617,28
63284,2013-12-31,29923,121823.1946,29
47018,2012-06-30,29716,121122.2311,30
51783,2013-06-30,29818,120955.8851,31
53621,2013-07-31,30046,120512.2708,32
69508,2014-03-31,29617,119641.1984,33
53506,2013-07-31,29701,119054.4623,34
50289,2013-03-30,29616,118581.3375,35
47027,2012-06-30,29616,118290.7501,36
44530,2011-10-01,29861,118206.3408,37
53460,2013-07-31,29957,118040.1854,38
63291,2013-12-31,29913,117907.1665,39
50683,2013-04-30,29701,117819.3126,40
55254,2013-08-30,29693,117506.1173,41
44795,2011-10-31,29562,117373.1283,42
47416,2012-07-31,29707,116463.9102,43
50297,2013-03-30,30112,116390.7349,44
47400,2012-07-31,29793,116295.0969,45
51761,2013-06-30,29995,115124.6277,46
47451,2012-07-31,30050,114753.0264,47
46067,2012-03-30,29861,114690.6064,48
51711,2013-06-30,29997,114536.7764,49
67298,2014-03-01,29987,114535.5552,50
46645,2012-05-30,30000,114197.9702,51
48336,2012-10-30,29701,113231.0188,52
46066,2012-03-30,30111,113042.7512,53
47990,2012-09-30,30117,112859.9318,54
51823,2013-06-30,29615,112685.2793,55
47658,2012-08-30,29772,112076.4746,56
44777,2011-10-31,29525,112067.3649,57
47712,2012-08-30,29646,111922.8064,58
46629,2012-05-30,29827,111633.3826,59
53535,2013-07-31,29629,111328.3281,60
51160,2013-05-30,30048,111207.2228,61
51132,2013-05-30,29994,110798.8179,62
48393,2012-10-30,29715,110338.4978,63
44552,2011-10-01,29507,110276.574,64
49884,2013-02-28,29646,110266.9588,65
46642,2012-05-30,29772,110233.1643,66
58980,2013-10-30,29629,110007.8727,67
51721,2013-06-30,30107,109948.7407,68
50204,2013-03-30,30074,109900.1475,69
48043,2012-09-30,29716,109751.4891,70
45529,2012-01-29,29722,109340.8212,71
49888,2013-02-28,29594,108780.5231,72
47366,2012-07-31,29639,108757.3001,73
50726,2013-04-30,29715,108152.5237,74
51857,2013-06-30,29923,107757.383,75
50694,2013-04-30,29639,107452.3406,76
50252,2013-03-30,29716,107441.6818,77
47988,2012-09-30,30074,107394.7718,78
48048,2012-09-30,29616,107136.3425,79
50208,2013-03-30,30117,106618.2647,80
61184,2013-11-30,29641,106406.1069,81
46056,2012-03-30,29624,106261.913,82
46090,2012-03-30,29507,105780.1033,83
47033,2012-06-30,30112,105493.6317,84
53458,2013-07-31,29736,105420.9481,85
69471,2014-03-31,29818,105415.7003,86
57143,2013-09-30,29940,105403.8246,87
50222,2013-03-30,30103,105304.6547,88
51123,2013-05-30,29689,105281.9588,89
57054,2013-09-30,29564,105120.5963,90
50304,2013-03-30,29924,104751.3605,91
44762,2011-10-31,29690,104545.315,92
46657,2012-05-30,30048,104478.5601,93
53472,2013-07-31,29796,103883.1767,94
67297,2014-03-01,29497,103227.0017,95
44127,2011-08-01,29562,102525.9874,96
51153,2013-05-30,29646,102017.9004,97
53497,2013-07-31,30049,101657.3019,98
46959,2012-06-30,30074,101655.5719,99
71847,2014-05-01,29629,101382.7138,100
71784,2014-05-01,29736,101268.2686,101
49509,2013-01-28,29715,101069.7604,102
45300,2012-01-01,29624,101020.1731,103
48306,2012-10-30,29722,101001.8154,104
49837,2013-02-28,29827,100902.437,105
47365,2012-07-31,29722,100723.8578,106
46987,2012-06-30,29712,100586.4124,107
44750,2011-10-31,29722,100237.4063,108
46666,2012-05-30,29594,99952.438,109
49052,2012-12-31,30074,99583.9036,110
49828,2013-02-28,29614,99507.5528,111
48005,2012-09-30,30103,99112.4483,112
53518,2013-07-31,29559,99023.6736,113
44284,2011-08-31,29580,98932.197,114
47986,2012-09-30,29997,98786.051,115
