CustomerID,SalesOrderID,OrderDate,TotalDue,CustomerOrderRowNumber
11000,43793,2011-06-21,3756.989,1
11000,51522,2013-06-20,2587.8769,2
11000,57418,2013-10-03,2770.2682,3
11001,43767,2011-06-17,3729.364,1
11001,51493,2013-06-18,2674.0227,2
11001,72773,2014-05-12,650.8008,3
11002,43736,2011-06-09,3756.989,1
11002,51238,2013-06-02,2535.964,2
11002,53237,2013-07-26,2673.0613,3
11003,43701,2011-05-31,3756.989,1
11003,51315,2013-06-07,2562.4508,2
11003,57783,2013-10-10,2674.4757,3
11004,43810,2011-06-25,3756.989,1
11004,51595,2013-06-24,2626.5408,2
11004,57293,2013-10-01,2673.0613,3
11005,43704,2011-06-01,3729.364,1
11005,51612,2013-06-25,2610.3084,2
11005,57361,2013-10-02,2634.3974,3
11006,43819,2011-06-26,3756.989,1
11006,51198,2013-05-31,2580.1419,2
11006,58007,2013-10-14,2634.3974,3
11007,43743,2011-06-11,3756.989,1
11007,51581,2013-06-23,2643.1048,2
11007,54705,2013-08-19,2673.0613,3
11008,43826,2011-06-27,3729.364,1
11008,51282,2013-06-05,2555.0473,2
11008,53765,2013-08-02,2673.0613,3
11009,43837,2011-06-29,3729.364,1
11009,51562,2013-06-22,2538.4944,2
11009,57736,2013-10-09,2673.0613,3
11010,43765,2011-06-16,3756.989,1
11010,51421,2013-06-13,2535.964,2
11010,58533,2013-10-23,2644.3313,3
11011,43705,2011-06-01,3756.989,1
11011,51650,2013-06-27,2535.964,2
11011,54706,2013-08-19,2694.0563,3
11012,54508,2013-08-16,82.8529,1
11012,68413,2014-03-17,6.9394,2
11013,56137,2013-09-13,43.0729,1
11013,74908,2014-06-23,82.8529,2
11014,54898,2013-08-23,43.0729,1
11014,57222,2013-09-30,109.9144,2
11015,51520,2013-06-20,2763.5719,1
11016,52512,2013-07-12,2577.1694,1
11017,43757,2011-06-14,3729.364,1
11017,51256,2013-06-03,2560.2519,2
11017,68396,2014-03-16,820.2968,3
11018,43778,2011-06-19,3756.989,1
11018,51492,2013-06-18,2587.8769,2
11018,69087,2014-03-26,874.4086,3
11019,52626,2013-07-15,41.9569,1
11019,53834,2013-08-04,59.659,2
11019,54332,2013-08-13,53.0069,3
11019,56910,2013-09-28,9.934,4
11019,57639,2013-10-08,8.0444,5
11019,58600,2013-10-25,164.6229,6
11019,62659,2013-12-23,41.2055,7
11019,64737,2014-01-22,2.5305,8
11019,65967,2014-02-08,27.614,9
11019,66658,2014-02-19,26.2769,10
11019,68563,2014-03-19,41.1834,11
11019,69177,2014-03-28,38.664,12
11019,71963,2014-05-01,82.3004,13
11019,72015,2014-05-02,37.5479,14
11019,72747,2014-05-12,136.9979,15
11019,74561,2014-06-13,132.6,16
11019,74593,2014-06-14,71.2394,17
11020,51193,2013-05-31,2560.2519,1
11021,51610,2013-06-25,2621.0158,1
11022,51556,2013-06-22,2566.1194,1
11023,52912,2013-07-20,128.1358,1
11023,74658,2014-06-16,6.9394,2
11024,60998,2013-11-27,46.7194,1
11024,62830,2013-12-26,15.7242,2
11025,43732,2011-06-08,3729.364,1
11025,51561,2013-06-22,2658.0444,2
11025,69157,2014-03-27,879.9557,3
11026,43811,2011-06-25,3756.989,1
11026,55132,2013-08-27,2651.4144,2
11026,68468,2014-03-17,857.8447,3
11027,43775,2011-06-18,3756.989,1
11027,58536,2013-10-23,2666.3208,2
11027,69088,2014-03-26,860.3751,3
11028,43831,2011-06-28,3729.364,1
11028,57943,2013-10-13,2604.7944,2
11028,67961,2014-03-09,820.2968,3
11029,43794,2011-06-21,3756.989,1
11029,57294,2013-10-01,2661.9119,2
11029,70593,2014-04-13,835.7447,3
11030,43956,2011-07-08,3756.989,1
11030,62739,2013-12-24,2563.589,2
11030,70449,2014-04-11,830.2307,3
11031,43933,2011-07-04,3756.989,1
11031,62222,2013-12-15,2566.1194,2
11031,70748,2014-04-15,835.7447,3
11032,44021,2011-07-21,3729.364,1
11032,64042,2014-01-11,2651.1492,2
11032,70373,2014-04-10,830.2307,3
11033,43998,2011-07-18,3729.364,1
11033,63409,2014-01-01,2602.2529,2
11033,70163,2014-04-07,845.6786,3
11034,43934,2011-07-04,3756.989,1
11034,63737,2014-01-06,2535.964,2
11034,70521,2014-04-12,879.9557,3
11035,43959,2011-07-09,3729.364,1
11035,66140,2014-02-10,2563.589,2
11035,70870,2014-04-17,835.7447,3
11036,51593,2013-06-24,2602.2529,1
11037,51555,2013-06-22,2623.5242,1
11038,43965,2011-07-10,3729.364,1
11038,65549,2014-02-01,2563.589,2
11038,70671,2014-04-14,820.2968,3
11039,43966,2011-07-10,3756.989,1
11039,66747,2014-02-20,2708.6534,2
11039,70594,2014-04-13,867.7786,3
11040,55599,2013-09-03,2597.8108,1
