SalesOrderID,OrderDate,CustomerID,CountryName,TotalDue,CountryOrderRank
45529,2012-01-29,29722,Australia,109340.8212,1
48306,2012-10-30,29722,Australia,101001.8154,2
47365,2012-07-31,29722,Australia,100723.8578,3
44518,2011-10-01,29624,Canada,142312.2199,1
51858,2013-06-30,29940,Canada,140042.1209,2
57150,2013-09-30,29923,Canada,137721.3102,3
43884,2011-07-01,29861,France,130416.4829,1
53573,2013-07-31,30050,France,130249.2557,2
53621,2013-07-31,30046,France,120512.2708,3
46607,2012-05-30,29994,Germany,135606.6769,1
51823,2013-06-30,29615,Germany,112685.2793,2
47658,2012-08-30,29772,Germany,112076.4746,3
53458,2013-07-31,29736,United Kingdom,105420.9481,1
71784,2014-05-01,29736,United Kingdom,101268.2686,2
53562,2013-07-31,29546,United Kingdom,91734.9579,3
46616,2012-05-30,29614,United States,170512.6689,1
46660,2012-05-30,29646,United States,132727.8506,2
51739,2013-06-30,29712,United States,125157.3774,3
51131,2013-05-30,29641,Unknown,187487.825,1
55282,2013-08-30,29641,Unknown,182018.6272,2
46981,2012-06-30,30103,Unknown,166537.0808,3
