CustomerID,SalesOrderID,OrderDate,TotalDue,PreviousOrderValue,ChangeFromPreviousOrder
11000,43793,2011-06-21,3756.989,,
11000,51522,2013-06-20,2587.8769,3756.989,-1169.1120999999998
11000,57418,2013-10-03,2770.2682,2587.8769,182.39129999999977
11001,43767,2011-06-17,3729.364,,
11001,51493,2013-06-18,2674.0227,3729.364,-1055.3413
11001,72773,2014-05-12,650.8008,2674.0227,-2023.2219
11002,43736,2011-06-09,3756.989,,
11002,51238,2013-06-02,2535.964,3756.989,-1221.025
11002,53237,2013-07-26,2673.0613,2535.964,137.0972999999999
11003,43701,2011-05-31,3756.989,,
11003,51315,2013-06-07,2562.4508,3756.989,-1194.5382
11003,57783,2013-10-10,2674.4757,2562.4508,112.02489999999989
11004,43810,2011-06-25,3756.989,,
11004,51595,2013-06-24,2626.5408,3756.989,-1130.4481999999998
11004,57293,2013-10-01,2673.0613,2626.5408,46.52049999999963
11005,43704,2011-06-01,3729.364,,
11005,51612,2013-06-25,2610.3084,3729.364,-1119.0556000000001
11005,57361,2013-10-02,2634.3974,2610.3084,24.088999999999942
11006,43819,2011-06-26,3756.989,,
11006,51198,2013-05-31,2580.1419,3756.989,-1176.8471
11006,58007,2013-10-14,2634.3974,2580.1419,54.255499999999756
11007,43743,2011-06-11,3756.989,,
11007,51581,2013-06-23,2643.1048,3756.989,-1113.8842
11007,54705,2013-08-19,2673.0613,2643.1048,29.956499999999778
11008,43826,2011-06-27,3729.364,,
11008,51282,2013-06-05,2555.0473,3729.364,-1174.3166999999999
11008,53765,2013-08-02,2673.0613,2555.0473,118.01399999999967
11009,43837,2011-06-29,3729.364,,
11009,51562,2013-06-22,2538.4944,3729.364,-1190.8696
11009,57736,2013-10-09,2673.0613,2538.4944,134.5668999999998
11010,43765,2011-06-16,3756.989,,
11010,51421,2013-06-13,2535.964,3756.989,-1221.025
11010,58533,2013-10-23,2644.3313,2535.964,108.36729999999989
11011,43705,2011-06-01,3756.989,,
11011,51650,2013-06-27,2535.964,3756.989,-1221.025
11011,54706,2013-08-19,2694.0563,2535.964,158.09230000000025
11012,54508,2013-08-16,82.8529,,
11012,68413,2014-03-17,6.9394,82.8529,-75.9135
11013,56137,2013-09-13,43.0729,,
11013,74908,2014-06-23,82.8529,43.0729,39.78000000000001
11014,54898,2013-08-23,43.0729,,
11014,57222,2013-09-30,109.9144,43.0729,66.8415
11015,51520,2013-06-20,2763.5719,,
11016,52512,2013-07-12,2577.1694,,
11017,43757,2011-06-14,3729.364,,
11017,51256,2013-06-03,2560.2519,3729.364,-1169.1120999999998
11017,68396,2014-03-16,820.2968,2560.2519,-1739.9551000000001
11018,43778,2011-06-19,3756.989,,
11018,51492,2013-06-18,2587.8769,3756.989,-1169.1120999999998
11018,69087,2014-03-26,874.4086,2587.8769,-1713.4683000000002
11019,52626,2013-07-15,41.9569,,
11019,53834,2013-08-04,59.659,41.9569,17.7021
11019,54332,2013-08-13,53.0069,59.659,-6.652099999999997
11019,56910,2013-09-28,9.934,53.0069,-43.072900000000004
11019,57639,2013-10-08,8.0444,9.934,-1.8895999999999997
11019,58600,2013-10-25,164.6229,8.0444,156.5785
11019,62659,2013-12-23,41.2055,164.6229,-123.41739999999999
11019,64737,2014-01-22,2.5305,41.2055,-38.675
11019,65967,2014-02-08,27.614,2.5305,25.0835
11019,66658,2014-02-19,26.2769,27.614,-1.3370999999999995
11019,68563,2014-03-19,41.1834,26.2769,14.906499999999998
11019,69177,2014-03-28,38.664,41.1834,-2.5193999999999974
11019,71963,2014-05-01,82.3004,38.664,43.636399999999995
11019,72015,2014-05-02,37.5479,82.3004,-44.7525
11019,72747,2014-05-12,136.9979,37.5479,99.44999999999999
11019,74561,2014-06-13,132.6,136.9979,-4.397899999999993
11019,74593,2014-06-14,71.2394,132.6,-61.36059999999999
11020,51193,2013-05-31,2560.2519,,
11021,51610,2013-06-25,2621.0158,,
11022,51556,2013-06-22,2566.1194,,
11023,52912,2013-07-20,128.1358,,
11023,74658,2014-06-16,6.9394,128.1358,-121.19639999999998
11024,60998,2013-11-27,46.7194,,
11024,62830,2013-12-26,15.7242,46.7194,-30.9952
11025,43732,2011-06-08,3729.364,,
11025,51561,2013-06-22,2658.0444,3729.364,-1071.3195999999998
11025,69157,2014-03-27,879.9557,2658.0444,-1778.0887000000002
11026,43811,2011-06-25,3756.989,,
11026,55132,2013-08-27,2651.4144,3756.989,-1105.5746
11026,68468,2014-03-17,857.8447,2651.4144,-1793.5697
11027,43775,2011-06-18,3756.989,,
11027,58536,2013-10-23,2666.3208,3756.989,-1090.6682
11027,69088,2014-03-26,860.3751,2666.3208,-1805.9457
11028,43831,2011-06-28,3729.364,,
11028,57943,2013-10-13,2604.7944,3729.364,-1124.5695999999998
11028,67961,2014-03-09,820.2968,2604.7944,-1784.4976000000001
11029,43794,2011-06-21,3756.989,,
11029,57294,2013-10-01,2661.9119,3756.989,-1095.0771
11029,70593,2014-04-13,835.7447,2661.9119,-1826.1672
11030,43956,2011-07-08,3756.989,,
11030,62739,2013-12-24,2563.589,3756.989,-1193.4
11030,70449,2014-04-11,830.2307,2563.589,-1733.3582999999999
11031,43933,2011-07-04,3756.989,,
11031,62222,2013-12-15,2566.1194,3756.989,-1190.8696
11031,70748,2014-04-15,835.7447,2566.1194,-1730.3747
11032,44021,2011-07-21,3729.364,,
11032,64042,2014-01-11,2651.1492,3729.364,-1078.2148000000002
11032,70373,2014-04-10,830.2307,2651.1492,-1820.9184999999998
11033,43998,2011-07-18,3729.364,,
11033,63409,2014-01-01,2602.2529,3729.364,-1127.1111
11033,70163,2014-04-07,845.6786,2602.2529,-1756.5743
11034,43934,2011-07-04,3756.989,,
11034,63737,2014-01-06,2535.964,3756.989,-1221.025
11034,70521,2014-04-12,879.9557,2535.964,-1656.0083
11035,43959,2011-07-09,3729.364,,
11035,66140,2014-02-10,2563.589,3729.364,-1165.775
11035,70870,2014-04-17,835.7447,2563.589,-1727.8443
11036,51593,2013-06-24,2602.2529,,
11037,51555,2013-06-22,2623.5242,,
11038,43965,2011-07-10,3729.364,,
11038,65549,2014-02-01,2563.589,3729.364,-1165.775
11038,70671,2014-04-14,820.2968,2563.589,-1743.2921999999999
11039,43966,2011-07-10,3756.989,,
11039,66747,2014-02-20,2708.6534,3756.989,-1048.3355999999999
11039,70594,2014-04-13,867.7786,2708.6534,-1840.8748
11040,55599,2013-09-03,2597.8108,,
11041,51460,2013-06-16,2630.4194,,
11042,51577,2013-06-23,2563.589,,
11042,68609,2014-03-19,875.5357,2563.589,-1688.0533
11043,57638,2013-10-08,14.3429,,
11043,64496,2014-01-18,38.675,14.3429,24.332099999999997
11044,44073,2011-07-31,3729.364,,
11044,70074,2014-04-06,2574.639,3729.364,-1154.725
11044,70374,2014-04-10,895.4036,2574.639,-1679.2354
11045,55973,2013-09-10,71.7919,,
11045,69572,2014-03-31,55.239,71.7919,-16.5529
11046,43960,2011-07-09,3729.364,,
11046,69653,2014-03-31,886.0222,3729.364,-2843.3418
11046,70651,2014-04-14,2696.189,886.0222,1810.1668
11047,43948,2011-07-06,3756.989,,
11047,70087,2014-04-06,820.2968,3756.989,-2936.6922
11047,71132,2014-04-21,2696.189,820.2968,1875.8921999999998
11048,43980,2011-07-13,3729.364,,
11048,70820,2014-04-16,829.0815,3729.364,-2900.2825000000003
11048,73924,2014-05-27,2622.1098,829.0815,1793.0283000000002
11049,54129,2013-08-09,82.8529,,
11049,69583,2014-03-31,6.9394,82.8529,-75.9135
11050,44029,2011-07-23,3729.364,,
11050,54526,2013-08-16,944.7419,3729.364,-2784.6221
11050,71147,2014-04-21,858.9607,944.7419,-85.78120000000001
11051,74155,2014-05-31,65.1729,,
11051,74253,2014-06-03,71.7919,65.1729,6.619
11052,44012,2011-07-20,3729.364,,
11052,51582,2013-06-23,2582.6834,3729.364,-1146.6806000000001
11052,58766,2013-10-27,2673.0613,2582.6834,90.37789999999995
11053,51505,2013-06-19,2574.6279,,
11054,43944,2011-07-06,3756.989,,
11054,51350,2013-06-09,2656.3869,3756.989,-1100.6021
11054,59127,2013-10-30,2673.0613,2656.3869,16.674399999999878
11055,43926,2011-07-03,3729.364,,
11055,52271,2013-07-07,2646.4419,3729.364,-1082.9221000000002
11055,59695,2013-11-07,2649.8453,2646.4419,3.403400000000147
11056,44058,2011-07-29,3729.364,,
11056,52207,2013-07-06,2666.8623,3729.364,-1062.5017000000003
11056,59194,2013-10-31,2673.0613,2666.8623,6.199000000000069
11057,44040,2011-07-25,3729.364,,
11057,51682,2013-06-29,2563.589,3729.364,-1165.775
11057,58402,2013-10-21,2644.3313,2563.589,80.74229999999989
11058,44180,2011-08-09,3756.989,,
11058,51292,2013-06-06,2624.3529,3756.989,-1132.6361000000002
11058,59464,2013-11-04,2732.7203,2624.3529,108.36740000000009
11059,52933,2013-07-21,85.0408,,
11059,54200,2013-08-11,16.5529,85.0408,-68.4879
11059,54480,2013-08-16,27.614,16.5529,11.0611
11060,44220,2011-08-19,3756.989,,
11060,51293,2013-06-06,2563.589,3756.989,-1193.4
11060,60884,2013-11-25,2688.5092,2563.589,124.92020000000002
11061,44190,2011-08-13,3729.364,,
11061,51237,2013-06-02,2618.8058,3729.364,-1110.5582
11061,60168,2013-11-14,2634.3974,2618.8058,15.591599999999744
11062,51347,2013-06-09,2598.9158,,
11063,51431,2013-06-14,2622.1098,,
11064,51646,2013-06-27,2547.0029,,
11065,52558,2013-07-13,216.9005,,
11065,74538,2014-06-12,6.9394,216.9005,-209.9611
11066,59178,2013-10-31,46.7194,,
11066,66656,2014-02-19,43.0729,46.7194,-3.646500000000003
11067,64472,2014-01-18,6.9394,,
11067,74615,2014-06-14,109.9144,6.9394,102.975
11068,57197,2013-09-30,42.5094,,
11068,62476,2013-12-20,16.5529,42.5094,-25.9565
11068,67965,2014-03-10,66.2006,16.5529,49.64769999999999
11069,44416,2011-09-17,3756.989,,
11069,51667,2013-06-28,2563.589,3756.989,-1193.4
11069,59465,2013-11-04,2634.3974,2563.589,70.80839999999989
11070,44467,2011-09-28,3756.989,,
11070,51385,2013-06-11,2591.4681,3756.989,-1165.5209
11070,60939,2013-11-26,2674.4757,2591.4681,83.00759999999991
11071,53667,2013-08-01,30.1444,,
11071,54593,2013-08-18,16.5529,30.1444,-13.5915
11071,72067,2014-05-03,75.1069,16.5529,58.553999999999995
11072,44323,2011-08-31,3756.989,,
11072,51386,2013-06-11,2647.5358,3756.989,-1109.4532
11072,60240,2013-11-15,2649.8453,2647.5358,2.3094999999998436
11073,54892,2013-08-23,114.8758,,
11073,59841,2013-11-10,71.7919,114.8758,-43.0839
11073,64686,2014-01-21,25.3819,71.7919,-46.41
11074,54893,2013-08-23,55.2169,,
11074,57536,2013-10-06,38.9292,55.2169,-16.2877
11074,58717,2013-10-27,9.934,38.9292,-28.995200000000004
11075,44468,2011-09-28,3729.364,,
11075,51491,2013-06-18,2535.964,3729.364,-1193.4
11075,60835,2013-11-24,2649.8453,2535.964,113.88130000000001
11076,44437,2011-09-21,3756.989,,
11076,51239,2013-06-02,2624.3529,3756.989,-1132.6361000000002
11076,60628,2013-11-21,2634.3974,2624.3529,10.044499999999971
11077,44407,2011-09-15,3729.364,,
11077,51651,2013-06-27,2624.3529,3729.364,-1105.0111000000002
11077,60042,2013-11-12,2673.0613,2624.3529,48.70839999999998
11078,52789,2013-07-18,71.2394,,
11078,53993,2013-08-07,13.1937,71.2394,-58.045700000000004
11078,54214,2013-08-11,62.9408,13.1937,49.7471
11078,54268,2013-08-12,27.614,62.9408,-35.326800000000006
11078,56449,2013-09-19,76.2119,27.614,48.597899999999996
11078,57281,2013-10-01,38.675,76.2119,-37.5369
11078,57969,2013-10-14,65.1729,38.675,26.4979
11078,58429,2013-10-22,33.1279,65.1729,-32.045
11078,58490,2013-10-23,82.8529,33.1279,49.72500000000001
11078,61443,2013-12-03,59.659,82.8529,-23.193900000000006
11078,62245,2013-12-16,178.2255,59.659,118.56650000000002
11078,62413,2013-12-19,8.0444,178.2255,-170.18110000000001
11078,67668,2014-03-05,77.339,8.0444,69.2946
11078,68285,2014-03-15,38.664,77.339,-38.675
11078,68288,2014-03-15,28.1554,38.664,-10.508600000000001
11078,73869,2014-05-27,15.4479,28.1554,-12.7075
11078,75084,2014-06-30,132.6,15.4479,117.15209999999999
11079,54436,2013-08-15,11.039,,
11079,65460,2014-01-31,25.3819,11.039,14.342900000000002
11079,74254,2014-06-03,27.614,25.3819,2.232099999999999
11080,44379,2011-09-10,3729.364,,
11080,51448,2013-06-15,2607.7779,3729.364,-1121.5861
11080,60764,2013-11-23,2728.3003,2607.7779,120.52239999999983
11081,52649,2013-07-15,41.2055,,
11081,56136,2013-09-13,74.0019,41.2055,32.796400000000006
11082,51592,2013-06-24,2574.639,,
11082,70231,2014-04-08,862.8061,2574.639,-1711.8329
11083,51325,2013-06-08,2646.4419,,
11083,70362,2014-04-10,820.2968,2646.4419,-1826.1450999999997
11084,51289,2013-06-06,2566.1194,,
11084,71270,2014-04-23,835.7447,2566.1194,-1730.3747
11085,72476,2014-05-08,82.8529,,
11085,74479,2014-06-10,59.6479,82.8529,-23.205000000000005
11086,61384,2013-12-02,59.6479,,
11086,73610,2014-05-23,109.9144,59.6479,50.2665
11087,53299,2013-07-28,180.104,,
11087,63918,2014-01-09,41.2055,180.104,-138.8985
11088,51445,2013-06-15,2614.9383,,
11088,70654,2014-04-14,895.4036,2614.9383,-1719.5346999999997
11089,51194,2013-05-31,2598.9158,,
11089,71077,2014-04-20,924.1336,2598.9158,-1674.7822
11090,45389,2012-01-07,3953.9884,,
11090,51679,2013-06-29,2623.7894,3953.9884,-1330.199
11090,71269,2014-04-23,830.2307,2623.7894,-1793.5587
11091,51925,2013-07-01,15.4479,,
11091,52420,2013-07-11,59.659,15.4479,44.2111
11091,54113,2013-08-09,64.6094,59.659,4.950399999999995
11091,54391,2013-08-14,14.2987,64.6094,-50.3107
11091,54831,2013-08-22,82.3004,14.2987,68.0017
11091,55572,2013-09-03,42.9624,82.3004,-39.337999999999994
11091,55626,2013-09-04,30.6859,42.9624,-12.276500000000002
11091,56448,2013-09-19,44.1779,30.6859,13.492
11091,56816,2013-09-26,5.514,44.1779,-38.6639
11091,57494,2013-10-05,6.9394,5.514,1.4253999999999998
11091,59427,2013-11-04,35.6584,6.9394,28.719
11091,59522,2013-11-05,77.339,35.6584,41.6806
11091,60531,2013-11-20,2.5305,77.339,-74.8085
11091,61333,2013-12-01,38.6529,2.5305,36.1224
11091,62597,2013-12-22,110.0249,38.6529,71.372
11091,63516,2014-01-03,127.0308,110.0249,17.005899999999997
11091,63636,2014-01-05,28.1554,127.0308,-98.8754
