SalesMonth,MonthlySales,MonthlySalesRank,PreviousMonthSales,MonthOverMonthChange
2011-05-01,567020.9498,35,,
2011-06-01,507096.46900000004,37,567020.9498,-59924.4807999999
2011-07-01,2292182.8828,27,507096.46900000004,1785086.4137999997
2011-08-01,2800576.1723,23,2292182.8828,508393.2895000004
2011-09-01,554791.6082,36,2800576.1723,-2245784.5641
2011-10-01,5156269.5291,6,554791.6082,4601477.9209
2011-11-01,815313.0152,34,5156269.5291,-4340956.5139
2011-12-01,1462448.8986,33,815313.0152,647135.8833999999
2012-01-01,4458337.4444,11,1462448.8986,2995888.5458000004
2012-02-01,1649051.9001,31,4458337.4444,-2809285.5443
2012-03-01,3336347.4716,19,1649051.9001,1687295.5714999998
2012-04-01,1871923.5039,30,3336347.4716,-1464423.9677
2012-05-01,3452924.4537,18,1871923.5039,1581000.9498
2012-06-01,4610647.2153,9,3452924.4537,1157722.7616000003
2012-07-01,3840231.459,13,4610647.2153,-770415.7563000005
2012-08-01,2442451.1831,25,3840231.459,-1397780.2758999998
2012-09-01,3881724.186,12,2442451.1831,1439273.0029000002
2012-10-01,2858060.197,21,3881724.186,-1023663.9890000001
2012-11-01,2097153.1292,28,2858060.197,-760907.0678000003
2012-12-01,3176848.1687,20,2097153.1292,1079695.0395
2013-01-01,2340061.5521,26,3176848.1687,-836786.6165999998
2013-02-01,2600218.8667,24,2340061.5521,260157.31460000016
2013-03-01,3831605.9389,14,2600218.8667,1231387.0721999998
2013-04-01,2840711.1734,22,3831605.9389,-990894.7654999997
2013-05-01,3658084.9461,17,2840711.1734,817373.7726999996
2013-06-01,5726265.2635,3,3658084.9461,2068180.3174000005
2013-07-01,5521840.8445,4,5726265.2635,-204424.4190000007
2013-08-01,3733973.0032,15,5521840.8445,-1787867.8412999995
2013-09-01,5083505.3374,7,3733973.0032,1349532.3341999995
2013-10-01,5374375.9418,5,5083505.3374,290870.60440000053
2013-11-01,3694667.9998,16,5374375.9418,-1679707.9420000003
2013-12-01,4560577.0958,10,3694667.9998,865909.0960000004
2014-01-01,4798027.8709,8,4560577.0958,237450.7751000002
2014-02-01,1478213.292,32,4798027.8709,-3319814.5789000005
2014-03-01,8097036.3137,1,1478213.292,6618823.0217
2014-04-01,1985886.1496,29,8097036.3137,-6111150.1641
2014-05-01,6006183.211,2,1985886.1496,4020297.0614
2014-06-01,54151.4785,38,6006183.211,-5952031.7325
